"id","sequence","sourceParagraph","sourceUrl","rowType","dateSourceParagraph","dateExpression","dateKind","startYear","startQualifier","endYear","endQualifier","alternativeYears","description","scriptureReferences","publicationReferences","categories","suggestedType"
"jw-dates-calendar-p69","1","p69","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=69","dated","p69","4026","point","4026","exact","","","","fall, Adam created","Ge 2:7","it-1 45, | 459; | bm 4; | si 286-287, | 294","other","event"
"jw-dates-calendar-p70","2","p70","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=70","dated","p70","3896","point","3896","exact","","","","Seth born","Ge 5:3","si 294","birth","person-boundary"
"jw-dates-calendar-p71","3","p71","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=71","dated","p71","3791","point","3791","exact","","","","Enosh born","Ge 5:6","wp17.1 12","birth","person-boundary"
"jw-dates-calendar-p72","4","p72","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=72","dated","p72","3566","point","3566","exact","","","","Jared born","Ge 5:15","wp17.1 12","birth","person-boundary"
"jw-dates-calendar-p73","5","p73","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=73","dated","p73","3404","point","3404","exact","","","","Enoch born","Ge 5:18","wcg 14; | wp17.1 12; | w01 9/15 29; | si 294","birth","person-boundary"
"jw-dates-calendar-p74","6","p74","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=74","dated","p74","3339","point","3339","exact","","","","Methuselah born","Ge 5:21","wp17.1 12; | si 294","birth","person-boundary"
"jw-dates-calendar-p75","7","p75","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=75","dated","p75","3152","point","3152","exact","","","","Lamech born","Ge 5:25","wp17.1 13; | si 294","birth","person-boundary"
"jw-dates-calendar-p76","8","p76","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=76","dated","p76","3096","point","3096","exact","","","","Adam dies (age 930)","Ge 5:5","it-1 46; | wp17.1 12; | bm 5; | si 294","death","person-boundary"
"jw-dates-calendar-p77","9","p77","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=77","dated","p77","3039","point","3039","exact","","","","Enoch transferred (age 365)","Ge 5:23, 24","wcg 14; | wp17.1 12; | si 294","death","person-boundary"
"jw-dates-calendar-p78","10","p78","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=78","dated","p78","2970","point","2970","exact","","","","Noah born","Ge 5:28, 29","wcg 14; | it-2 506; | wp17.1 13; | si 294","birth","person-boundary"
"jw-dates-calendar-p79","11","p79","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=79","dated","p79","2886","point","2886","exact","","","","Enosh dies (age 905)","Ge 5:11","wp17.1 12","death","person-boundary"
"jw-dates-calendar-p80","12","p80","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=80","dated","p80","2604","point","2604","exact","","","","Jared dies (age 962)","Ge 5:20","wp17.1 12","death","person-boundary"
"jw-dates-calendar-p81","13","p81","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=81","dated","p81","2490","point","2490","exact","","","","God’s pronouncement as to mankind","Ge 6:3","w12 4/15 23; | si 294","other","event"
